# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 1456, mean observations per image: 4003.0583791208792

1 0.54551771288888418 -0.096025824814273963 -0.76140956673814753 -0.33681588082043568 2.5963207351949347 -0.17450101820179389 0.088330426687385874 1 DJI_01000.JPG
2 -0.32467298166907166 0.056172047061507538 0.86069810494037802 0.38811200478093527 2.3005469625227537 -0.48347462707914968 1.0659122908573391 1 DJI_01001.JPG
3 -0.13685188928365044 0.028926559919349445 0.90014754204316516 0.41251571737859405 1.8419124636092168 -0.71985926623732988 1.6446759649986491 1 DJI_01002.JPG
4 0.11520662987295667 -0.015080111218405599 0.90149013848305748 0.4169119246276769 0.92953706120241797 -0.91794061023127094 2.2176871019909288 1 DJI_01003.JPG
5 0.34499247138425843 -0.058406479239096351 0.8487161921232107 0.39654722682040278 -0.05539030602157996 -1.024199142464103 2.3589141511034124 1 DJI_01004.JPG
6 0.56314804289289777 -0.10102032493924343 0.73984033389521631 0.35397098197010934 -1.0853146972510288 -1.0363491858919249 2.1098287932058022 1 DJI_01005.JPG
7 0.84022616743093248 -0.15309881122171953 0.46510399555458348 0.23293564537439321 -2.3434546785810841 -0.85662933691295107 0.98012981334964755 1 DJI_01007.JPG
8 0.72720638897707679 -0.1338055795806235 0.60414303412130621 0.29711635604038411 -1.8472716273996279 -0.96936911172305262 1.5975774363964583 1 DJI_01006.JPG
9 0.94075865224719524 -0.16979970449366394 0.26038477852483816 0.13542889532325136 -2.6849125426674298 -0.6252317193407525 -0.064916006965423559 1 DJI_01008.JPG
10 0.97992742548807488 -0.17759444885916342 0.077177365895646069 0.047393108192364329 -2.6208905971958449 -0.39896954878951074 -1.0067828487902202 1 DJI_01009.JPG
11 0.9038823144998912 -0.16459604462249908 -0.36143645445647471 -0.15896097954806676 -1.0868574132388882 0.039428954984480027 -2.8688809566644045 1 DJI_01011.JPG
12 0.96903266958440826 -0.17649281866227504 -0.15993505639686531 -0.065167077378781191 -2.0287247212304376 -0.13861359358882186 -2.1411321295416856 1 DJI_01010.JPG
13 0.78395580835547352 -0.14083322818710103 -0.55410263327364262 -0.24197017209427099 0.21556339695964732 0.097500161013619496 -3.1684895540937328 1 DJI_01012.JPG
14 0.5853307138421493 -0.10164714438932124 -0.73683129397311475 -0.32270025982704414 1.8249569766344083 -0.0047584418203483487 -2.7617658352049586 1 DJI_01013.JPG
15 0.46328939638342875 -0.077828224959500744 -0.80811950368348762 -0.35531474830730775 2.5401870560377171 -0.15239891802796271 -2.2367631999510538 1 DJI_01014.JPG
16 -0.41029642480897333 0.066481957720173304 0.83192143249509942 0.36761899194950398 2.7940964027842439 -0.2298201723255891 -1.9578969036256484 1 DJI_01015.JPG
17 -0.38086724942579103 0.061143526973412063 0.84343963156755952 0.37391335269720383 2.9216993583905113 -0.28449613054231637 -1.7733929002994646 1 DJI_01016.JPG
18 -0.23353852521508189 0.03251700851147709 0.8852489645413969 0.40091978271995249 3.279393242986488 -0.5265029984203291 -0.63899081930515245 1 DJI_01018.JPG
19 -0.3290251089147036 0.051276699680109401 0.86064490434627472 0.38523178269241382 3.1093398886305263 -0.37901141479466738 -1.379691543921054 1 DJI_01017.JPG
20 -0.11201892674773579 0.012651965190373406 0.90300737265935282 0.41457131201997049 3.2412234283538535 -0.75872293781496247 0.29141009278101293 1 DJI_01019.JPG
21 0.058167251958816557 -0.012277541855793762 0.90464187280858455 0.42200582309598034 2.7608101477885509 -1.0995299951882658 1.4424769451276471 1 DJI_01020.JPG
22 0.29432143628797569 -0.051772223816740494 0.86183852026997787 0.4097912809727744 1.459535766547625 -1.4102883170729674 2.5575432571389749 1 DJI_01021.JPG
23 0.53735473222311392 -0.08915175744135917 0.7550137643581103 0.36504256126147627 -0.43503813434924932 -1.4925320226075061 2.834516524001288 1 DJI_01022.JPG
24 0.66062447113445222 -0.10586081921853722 0.66695688468612468 0.32792881706627269 -1.4936015633374107 -1.4100648288886979 2.4795065265343337 1 DJI_01023.JPG
25 0.8097041370259509 -0.13359895157307689 0.51026538491647166 0.25721541084795047 -2.6754310945027782 -1.0786989331721086 1.3866247439061414 1 DJI_01024.JPG
